Size,Algorithm,DataType,Comparisons,Time_ms
1400,LCPMergeSort,Prefix,107686,61.118
1400,MSDRadixSort,Random,3114,56.901
1400,MSDRadixSort,Reversed,3117,52.413
1400,MSDRadixSort,AlmostSorted,3138,35.364
1400,MSDRadixSort,Prefix,12931,285.908
1400,MSDRadixSort+QuickSort,Random,6150,39.917
1400,MSDRadixSort+QuickSort,Reversed,6086,39.409
1400,MSDRadixSort+QuickSort,AlmostSorted,6214,42.647
1400,MSDRadixSort+QuickSort,Prefix,16081,446.416
1500,StandardMergeSort,Random,19121,49.574
1500,StandardMergeSort,Reversed,11194,48.336
1500,StandardMergeSort,AlmostSorted,15195,46.759
1500,StandardMergeSort,Prefix,116923,66.300
1500,StandardQuickSort,Random,22697,0.564
1500,StandardQuickSort,Reversed,1139544,25.609
1500,StandardQuickSort,AlmostSorted,296728,6.995
1500,StandardQuickSort,Prefix,150748,1.218
1500,TernaryQuickSort,Random,15111,0.356
1500,TernaryQuickSort,Reversed,14450,0.307
1500,TernaryQuickSort,AlmostSorted,14427,0.300
1500,TernaryQuickSort,Prefix,25920,0.409
1500,LCPMergeSort,Random,19121,44.869
1500,LCPMergeSort,Reversed,11194,51.082
1500,LCPMergeSort,AlmostSorted,15195,44.138
1500,LCPMergeSort,Prefix,116923,58.176
1500,MSDRadixSort,Random,3334,49.043
1500,MSDRadixSort,Reversed,3364,48.641
1500,MSDRadixSort,AlmostSorted,3325,61.452
1500,MSDRadixSort,Prefix,13842,360.583
1500,MSDRadixSort+QuickSort,Random,6782,39.353
1500,MSDRadixSort+QuickSort,Reversed,6655,39.820
1500,MSDRadixSort+QuickSort,AlmostSorted,6767,35.806
1500,MSDRadixSort+QuickSort,Prefix,17414,418.501
1600,StandardMergeSort,Random,20667,51.040
1600,StandardMergeSort,Reversed,12094,44.952
1600,StandardMergeSort,AlmostSorted,15874,51.719
1600,StandardMergeSort,Prefix,125859,58.570
1600,StandardQuickSort,Random,25922,0.532
1600,StandardQuickSort,Reversed,1296523,25.140
1600,StandardQuickSort,AlmostSorted,739556,15.101
1600,StandardQuickSort,Prefix,148113,0.971
1600,TernaryQuickSort,Random,16282,0.336
1600,TernaryQuickSort,Reversed,16217,0.294
1600,TernaryQuickSort,AlmostSorted,16509,0.349
1600,TernaryQuickSort,Prefix,27319,0.768
1600,LCPMergeSort,Random,20667,47.575
1600,LCPMergeSort,Reversed,12094,48.919
1600,LCPMergeSort,AlmostSorted,15874,58.617
1600,LCPMergeSort,Prefix,125859,60.770
1600,MSDRadixSort,Random,3558,66.621
1600,MSDRadixSort,Reversed,3571,64.561
1600,MSDRadixSort,AlmostSorted,3632,44.052
1600,MSDRadixSort,Prefix,14792,379.965
1600,MSDRadixSort+QuickSort,Random,7449,65.829
1600,MSDRadixSort+QuickSort,Reversed,7348,65.457
1600,MSDRadixSort+QuickSort,AlmostSorted,7567,60.033
1600,MSDRadixSort+QuickSort,Prefix,18728,418.457
1700,StandardMergeSort,Random,22244,43.209
1700,StandardMergeSort,Reversed,13104,55.063
1700,StandardMergeSort,AlmostSorted,16918,57.425
1700,StandardMergeSort,Prefix,135329,97.483
1700,StandardQuickSort,Random,26641,0.529
1700,StandardQuickSort,Reversed,1463742,30.996
1700,StandardQuickSort,AlmostSorted,312348,6.495
1700,StandardQuickSort,Prefix,171590,1.089
1700,TernaryQuickSort,Random,16638,0.356
1700,TernaryQuickSort,Reversed,17271,0.314
1700,TernaryQuickSort,AlmostSorted,17042,0.488
1700,TernaryQuickSort,Prefix,29246,0.427
1700,LCPMergeSort,Random,22244,63.374
1700,LCPMergeSort,Reversed,13104,63.161
1700,LCPMergeSort,AlmostSorted,16918,62.924
1700,LCPMergeSort,Prefix,135329,97.018
1700,MSDRadixSort,Random,3844,84.263
1700,MSDRadixSort,Reversed,3879,79.781
1700,MSDRadixSort,AlmostSorted,3815,93.433
1700,MSDRadixSort,Prefix,15741,447.284
1700,MSDRadixSort+QuickSort,Random,8078,38.291
1700,MSDRadixSort+QuickSort,Reversed,7988,38.294
1700,MSDRadixSort+QuickSort,AlmostSorted,8029,39.459
1700,MSDRadixSort+QuickSort,Prefix,20018,567.648
1800,StandardMergeSort,Random,23905,79.524
1800,StandardMergeSort,Reversed,14054,90.499
1800,StandardMergeSort,AlmostSorted,17818,80.337
1800,StandardMergeSort,Prefix,144574,86.464
1800,StandardQuickSort,Random,31048,0.628
1800,StandardQuickSort,Reversed,1641177,32.372
1800,StandardQuickSort,AlmostSorted,363822,7.554
1800,StandardQuickSort,Prefix,198330,1.239
1800,TernaryQuickSort,Random,19265,0.374
1800,TernaryQuickSort,Reversed,19942,0.482
1800,TernaryQuickSort,AlmostSorted,18539,0.320
1800,TernaryQuickSort,Prefix,31209,0.436
1800,LCPMergeSort,Random,23905,76.018
1800,LCPMergeSort,Reversed,14054,88.079
1800,LCPMergeSort,AlmostSorted,17818,87.422
1800,LCPMergeSort,Prefix,144574,84.251
1800,MSDRadixSort,Random,4066,127.860
1800,MSDRadixSort,Reversed,4088,107.505
1800,MSDRadixSort,AlmostSorted,4103,90.247
1800,MSDRadixSort,Prefix,16715,589.061
1800,MSDRadixSort+QuickSort,Random,8867,79.250
1800,MSDRadixSort+QuickSort,Reversed,8603,81.034
1800,MSDRadixSort+QuickSort,AlmostSorted,8784,80.841
1800,MSDRadixSort+QuickSort,Prefix,21440,655.319
1900,StandardMergeSort,Random,25565,76.042
1900,StandardMergeSort,Reversed,15095,74.625
1900,StandardMergeSort,AlmostSorted,19731,74.755
1900,StandardMergeSort,Prefix,153910,86.546
1900,StandardQuickSort,Random,30941,0.620
1900,StandardQuickSort,Reversed,1828547,35.672
1900,StandardQuickSort,AlmostSorted,428149,8.641
1900,StandardQuickSort,Prefix,192661,1.216
1900,TernaryQuickSort,Random,21382,0.423
1900,TernaryQuickSort,Reversed,20057,0.341
1900,TernaryQuickSort,AlmostSorted,20768,0.369
1900,TernaryQuickSort,Prefix,33483,0.461
1900,LCPMergeSort,Random,25565,69.477
1900,LCPMergeSort,Reversed,15095,71.407
1900,LCPMergeSort,AlmostSorted,19731,72.645
1900,LCPMergeSort,Prefix,153910,83.737
1900,MSDRadixSort,Random,4388,147.992
1900,MSDRadixSort,Reversed,4368,159.797
1900,MSDRadixSort,AlmostSorted,4333,71.981
1900,MSDRadixSort,Prefix,17679,547.997
